player_id,league_id,sub_league_id,year,category,place,amount
16,100,0,2001,37,8,67.0000
29,100,1,2000,1,6,719.0000
29,100,1,2000,6,8,43.0000
29,100,1,2000,7,7,7.0000
29,100,1,2000,12,1,130.0000
29,100,1,2000,13,1,24.0000
29,100,1,2000,19,3,0.4465
29,100,1,2000,21,7,151.4339
29,100,1,2000,22,6,10.1457
29,100,1,2001,0,7,159.0000
29,100,1,2001,1,9,709.0000
29,100,1,2001,6,10,42.0000
29,100,1,2001,9,7,32.0000
29,100,1,2001,12,6,101.0000
29,100,1,2001,17,8,79.0000
29,100,1,2002,6,1,50.0000
29,100,1,2002,9,10,30.0000
29,100,1,2002,12,7,108.0000
29,100,1,2002,13,8,14.0000
29,100,1,2002,16,5,9.0000
29,100,1,2002,17,5,81.0000
29,100,1,2002,19,9,0.4210
29,100,1,2002,21,7,146.1573
29,100,1,2002,22,8,9.4183
29,100,1,2002,26,10,158.2971
29,100,1,2003,0,8,156.0000
29,100,1,2003,1,8,707.0000
29,100,1,2003,6,2,52.0000
29,100,1,2003,11,4,127.0000
29,100,1,2003,12,7,104.0000
29,100,1,2003,17,5,78.0000
29,100,1,2003,19,7,0.4278
29,100,1,2003,21,5,146.4352
29,100,1,2003,22,7,9.4137
29,100,1,2003,24,6,0.4127
29,100,1,2003,25,8,0.9670
29,100,1,2003,26,6,165.6012
29,100,1,2003,58,7,7.6433
29,100,1,2004,0,7,157.0000
29,100,1,2004,1,3,736.0000
29,100,1,2004,6,3,47.0000
29,100,1,2004,9,4,40.0000
29,100,1,2004,11,5,120.0000
29,100,1,2004,12,1,134.0000
29,100,1,2004,16,9,8.0000
29,100,1,2004,19,4,0.4416
29,100,1,2004,21,6,149.0618
29,100,1,2004,22,10,9.3815
29,100,1,2004,26,10,157.4597
29,100,1,2004,58,5,7.6395
29,100,1,2005,0,3,161.0000
29,100,1,2005,1,5,732.0000
29,100,1,2005,2,8,624.0000
29,100,1,2005,3,2,207.0000
29,100,1,2005,4,9,130.0000
29,100,1,2005,5,9,317.0000
29,100,1,2005,6,3,48.0000
29,100,1,2005,9,6,34.0000
29,100,1,2005,11,4,118.0000
29,100,1,2005,12,4,100.0000
29,100,1,2005,13,6,15.0000
29,100,1,2005,17,8,69.0000
29,100,1,2005,18,2,0.3317
29,100,1,2005,19,2,0.4227
29,100,1,2005,21,2,145.2401
29,100,1,2005,22,6,8.9942
29,100,1,2005,24,8,0.3899
29,100,1,2005,25,8,0.9307
