player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint
875,2018,13,2432,100,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0486,0
875,2018,13,2443,100,1,0,10,3,1,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0463,0
875,2018,13,2448,100,1,0,10,3,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0638,0
875,2018,13,2453,100,1,0,10,3,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0371,0
875,2018,13,2464,100,1,0,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0054,0
875,2018,13,2470,100,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0297,0
875,2018,13,2480,100,1,0,10,3,2,0,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0471,0
875,2018,13,2493,100,1,0,10,2,0,0,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0120,0
875,2018,13,2496,100,1,0,10,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0132,0
875,2018,13,2503,100,1,0,10,3,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0475,0
875,2018,13,2512,100,1,0,0,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1147,0
875,2018,13,2520,100,1,0,10,3,1,1,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0484,0
875,2018,13,2528,100,1,0,10,2,0,1,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0430,0
875,2018,13,2530,100,1,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0415,0
875,2018,13,2543,100,1,0,10,3,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1177,0
875,2018,13,2545,100,1,0,10,3,1,1,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0194,0
875,2018,13,2553,100,1,0,10,2,0,0,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0265,0
875,2018,13,2561,100,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0507,0
875,2018,13,2570,100,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1577,0
875,2018,13,2577,100,1,0,10,3,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0885,0
