player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs
2611,2018,25,2678,100,1,0,4,16,0,4,1,17,1,1,1,1,7,4,51,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554,19.4000,0,12
2611,2018,25,2719,100,1,0,2,16,0,8,2,16,3,0,8,1,3,1,49,0,1,1,0,1,0,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4664,15.9000,0,6
2611,2018,25,2768,100,1,0,4,15,0,4,0,16,2,1,2,2,8,3,46,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0729,21.1000,0,12
2611,2018,25,2814,100,1,0,4,15,0,4,1,18,0,2,0,0,6,5,48,0,1,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1871,22.2000,0,12
5331,2018,14,2447,100,1,0,1,8,0,4,0,9,0,1,1,1,2,2,36,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0183,3.0000,0,4
5331,2018,14,2491,100,1,0,0,4,0,2,1,5,0,1,2,2,1,0,19,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0613,4.9000,0,2
5331,2018,14,2524,100,1,0,2,7,0,2,2,8,0,1,0,0,2,1,32,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.2754,21.8000,0,6
5331,2018,14,2554,100,1,0,2,8,0,2,0,9,0,1,0,0,2,4,31,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0943,8.3000,0,6
5331,2018,14,2584,100,1,0,1,2,0,0,1,3,0,1,0,0,0,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0027,0.3000,0,3
9946,2018,29,2644,100,1,0,1,5,0,1,0,5,0,0,0,0,2,2,11,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0.1863,9.7000,0,4
9946,2018,29,2711,100,1,0,2,7,0,3,0,8,0,1,0,0,2,2,29,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0.1934,15.5000,0,6
9946,2018,29,2736,100,1,0,1,3,0,0,2,3,0,0,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0950,3.8000,0,3
9946,2018,29,2785,100,1,0,2,8,0,2,3,9,0,1,0,0,2,1,32,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0717,6.9000,0,6
14156,2018,27,2665,100,1,0,0,1,0,1,0,3,0,2,3,3,0,0,11,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.3242,8.4000,0,0
14156,2018,27,2677,100,1,0,1,3,0,1,1,3,0,0,0,0,0,1,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0473,2.0000,0,3
14156,2018,27,2706,100,1,0,0,2,0,0,0,2,0,0,0,0,2,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0338,1.4000,0,2
14156,2018,27,2740,100,1,0,0,1,0,0,1,1,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0.0485,2.3000,0,1
14156,2018,27,2769,100,1,0,0,1,0,0,0,1,0,0,0,0,0,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0544,2.2000,0,1
14156,2018,27,2801,100,1,0,1,4,0,1,0,4,0,0,0,0,2,1,16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0275,1.8000,0,3
14156,2018,27,2813,100,1,0,1,3,0,0,1,3,0,0,0,0,0,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0388,1.6000,0,3
14736,2018,11,2469,100,1,0,4,15,0,3,1,19,0,4,1,1,6,5,77,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0941,22.8000,0,12
14736,2018,11,2519,100,1,0,2,14,0,7,2,16,5,2,8,5,2,2,57,1,1,1,0,1,0,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.3542,12.7000,0,7
14736,2018,11,2562,100,1,0,4,14,0,4,2,21,2,4,5,3,4,6,74,0,1,1,0,0,0,4,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3627,25.3000,0,12
14736,2018,11,2610,100,1,0,1,12,0,7,0,13,0,0,7,5,0,4,51,1,1,1,0,1,0,5,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4303,12.0000,0,4
15241,2018,14,2476,100,1,0,1,7,0,2,2,7,0,0,1,1,2,1,30,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0147,1.4000,0,5
15241,2018,14,2505,100,1,0,2,7,0,1,1,7,0,0,0,0,4,1,26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1469,10.2000,0,6
15241,2018,14,2546,100,1,0,0,5,0,4,0,6,0,1,5,5,0,1,16,1,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-0.1085,1.6000,0,1
15241,2018,14,2573,100,1,0,1,3,0,0,0,3,0,0,0,0,2,1,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.0726,3.1000,0,3
15241,2018,14,2589,100,1,0,0,4,0,3,0,5,0,1,2,2,0,1,13,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,-0.5826,19.8000,0,1
15270,2018,14,2456,100,1,0,1,6,0,2,2,9,0,3,2,2,2,0,39,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.1940,10.0000,0,4
15270,2018,14,2484,100,1,0,1,3,0,0,2,3,0,0,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0879,3.7000,0,3
15270,2018,14,2496,100,1,0,1,6,0,2,3,7,0,1,2,1,1,0,29,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-0.0594,2.0000,0,4
15270,2018,14,2524,100,1,0,2,5,0,1,0,7,0,1,0,0,3,1,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0.2754,21.4000,0,6
15270,2018,14,2546,100,1,0,0,2,0,0,0,2,0,0,0,0,1,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0179,0.7000,0,2
15270,2018,14,2573,100,1,0,2,13,0,5,1,14,0,0,2,2,5,2,37,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0245,16.8000,0,8
15270,2018,14,2603,100,1,0,1,2,0,0,1,3,0,1,0,0,1,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.0001,2.6000,0,3
15327,2018,13,2432,100,1,0,1,6,0,3,0,8,0,2,2,2,1,2,27,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.2249,9.6000,0,4
