message_id,subject,player_id_0,player_id_1,player_id_2,player_id_3,player_id_4,team_id_0,team_id_1,team_id_2,team_id_3,team_id_4,league_id_0,league_id_1,importance,message_type,hype,sender_type,sender_id,recipient_id,trade_id,date,deleted,notify,ongoing_story_id,text_is_modified
1,"BNN Stats: Active Career Pitching Leaders",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2018-1-1",0,1,-1,0
2,"Hall of Fame Voting Results",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2018-1-3",0,1,-1,1
3,"BNN Stats: Does Age Matter?",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2018-1-8",0,1,-1,1
4,"BNN Stats: Single-Season Records",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2018-1-15",0,1,-1,1
5,"BNN Stats: Rookie Batting Leaders",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2018-1-22",0,1,-1,1
6,"BNN Stats: Reliever Split Stats Leaders",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2018-1-29",0,1,-1,1
7,"MLB News: Pre-Season Begins",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2018-2-2",0,1,-1,1
8,"MLB News: Spring Training Begins",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2018-3-4",0,1,-1,1
9,"BNN Stats: Active Career Pitching Leaders",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2018-3-5",0,1,-1,1
10,"MLB Implements \"No-Fly Zone\" for Dixon's Drone",18312,0,0,0,0,6,0,0,0,0,100,0,3,3,0,5,0,0,0,"2018-3-6",0,1,-1,1
11,"BNN Stats: Career Batting Leaders",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2018-3-12",0,1,-1,1
12,"BNN Stats: Reliever Split Stats Leaders",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2018-3-19",0,1,-1,1
13,"BNN Stats: Single-Season Records",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2018-3-26",0,1,-1,1
14,"Top 100 Prospects List Published",0,0,0,0,0,0,0,0,0,0,100,0,3,3,3,5,100,0,0,"2016-4-3",1,1,-1,0
15,"MLB News: Opening Day",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2016-4-3",1,1,-1,0
16,"Weekly Team Power Rankings",0,0,0,0,0,25,0,0,0,0,100,0,3,0,2,5,0,0,0,"2016-4-4",1,1,-1,0
17,"BNN Stats: Career Pitching Leaders",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2016-4-4",1,1,-1,0
18,"Teheran Sparkles in Shutout",17487,0,0,0,0,16,24,0,0,0,100,0,3,4,2,5,16,0,0,"2016-4-4",1,1,-1,0
19,"LeMahieu Goes 5-for-6",17398,0,0,0,0,19,15,0,0,0,100,0,3,4,2,5,19,0,0,"2016-4-6",1,1,-1,0
20,"Pirates Hurler Cole Tosses Masterpiece",17756,0,0,0,0,27,18,0,0,0,100,0,3,4,2,5,27,0,0,"2016-4-9",1,1,-1,0
21,"Cueto Baffles Los Angeles Batters",16679,0,0,0,0,29,22,0,0,0,100,0,3,4,2,5,29,0,0,"2016-4-10",1,1,-1,0
22,"AL Names Top Player",17017,0,0,0,0,10,0,0,0,0,100,0,3,7,1,5,10,0,0,"2016-4-11",1,1,-1,0
23,"Star of the Week Selected in NL",16447,0,0,0,0,23,0,0,0,0,100,0,3,7,1,5,23,0,0,"2016-4-11",1,1,-1,0
24,"Weekly Team Power Rankings",0,0,0,0,0,19,0,0,0,0,100,0,3,0,2,5,0,0,0,"2016-4-11",1,1,-1,0
25,"BNN Stats: Single-Season Records",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2016-4-11",1,1,-1,0
26,"Wacha Guns Downs 16 Brewers",17925,0,0,0,0,30,23,0,0,0,100,0,3,4,2,5,30,0,0,"2016-4-11",1,1,-1,0
27,"Price Fashions Shutout Against Baltimore",16799,0,0,0,0,3,2,0,0,0,100,0,3,4,2,5,3,0,0,"2016-4-11",1,1,-1,0
28,"Pierzynski Gets Number 2000",10889,0,0,0,0,16,24,0,0,0,100,0,3,5,3,5,16,0,0,"2016-4-11",1,1,-1,0
29,"Morton Blanks San Diego ",16779,0,0,0,0,26,28,0,0,0,100,0,3,4,2,5,26,0,0,"2016-4-12",1,1,-1,0
30,"Martinez Dominates, Whitewashes Reds",17847,0,0,0,0,30,18,0,0,0,100,0,3,4,2,5,30,0,0,"2016-4-15",1,1,-1,0
31,"Greinke Tosses Shutout Against San Diego",15880,0,0,0,0,15,28,0,0,0,100,0,3,4,2,5,15,0,0,"2016-4-15",1,1,-1,0
32,"Chicago Blanks Colorado Behind Arrieta",17078,0,0,0,0,17,19,0,0,0,100,0,3,4,2,5,17,0,0,"2016-4-16",1,1,-1,0
33,"Kluber Brilliant, Blanks Mets",17392,0,0,0,0,5,25,0,0,0,100,0,3,4,2,5,5,0,0,"2016-4-17",1,1,-1,0
34,"AL Votes Mariners Cruz Top Player",16048,0,0,0,0,11,0,0,0,0,100,0,3,7,1,5,11,0,0,"2016-4-18",1,1,-1,0
35,"Great Week for Washington's Bryce Harper",17586,0,0,0,0,24,0,0,0,0,100,0,3,7,1,5,24,0,0,"2016-4-18",1,1,-1,0
36,"Weekly Team Power Rankings",0,0,0,0,0,17,0,0,0,0,100,0,3,0,2,5,0,0,0,"2016-4-18",1,1,-1,0
37,"BNN Stats: Single-Season Records",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2016-4-18",1,1,-1,0
38,"Latos Hurls Chicago to Shutout Win",16963,0,0,0,0,4,1,0,0,0,100,0,3,4,2,5,4,0,0,"2016-4-19",1,1,-1,0
39,"Peralta Pitches Brewers to Shutout Win",17656,0,0,0,0,23,8,0,0,0,100,0,3,4,2,5,23,0,0,"2016-4-19",1,1,-1,0
40,"Garcia Puts Spell on Chicago",16703,0,0,0,0,30,17,0,0,0,100,0,3,4,2,5,30,0,0,"2016-4-19",1,1,-1,0
41,"Desmond Goes on Rampage Against Astros",16911,0,0,0,0,13,21,0,0,0,100,0,3,4,2,5,13,0,0,"2016-4-19",1,1,-1,0
42,"Texas Beats Houston 6-2, Hamels Ks 15",16270,0,0,0,0,13,21,0,0,0,100,0,3,4,2,5,13,0,0,"2016-4-20",1,1,-1,0
43,"Martinez Sizzles -- Smokes Royals for 5 Hits",15535,0,0,0,0,6,7,0,0,0,100,0,3,4,2,5,6,0,0,"2016-4-20",1,1,-1,0
44,"Adam Wainwright Blanks San Diego",16198,0,0,0,0,30,28,0,0,0,100,0,3,4,2,5,30,0,0,"2016-4-22",1,1,-1,0
45,"Lewis Gives Chicago Goose Eggs",15528,0,0,0,0,13,4,0,0,0,100,0,3,4,2,5,13,0,0,"2016-4-23",1,1,-1,0
46,"Ray Tames Pirates 7-1, 15 Ks",18105,0,0,0,0,15,27,0,0,0,100,0,3,4,2,5,15,0,0,"2016-4-24",1,1,-1,0
47,"Uribe Hits for Cycle Against Detroit",15409,0,0,0,0,5,6,0,0,0,100,0,3,4,2,5,5,0,0,"2016-4-24",1,1,-1,0
48,"Player of the Week: Cabrera of the Tigers",15636,0,0,0,0,6,0,0,0,0,100,0,3,7,1,5,6,0,0,"2016-4-25",1,1,-1,0
49,"NL Star of the Week Honored",16662,0,0,0,0,18,0,0,0,0,100,0,3,7,1,5,18,0,0,"2016-4-25",1,1,-1,0
50,"Weekly Team Power Rankings",0,0,0,0,0,30,0,0,0,0,100,0,3,0,2,5,0,0,0,"2016-4-25",1,1,-1,0
