player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,zr
11,2000,4,100,1,0,7,23,0,23,0,123,18,14,0,0,0,0,0,0,0,21,25,0,-2.5371
11,2000,4,100,1,0,8,75,1,73,0,220,27,26,1,0,0,0,0,0,0,73,72,0,1.7911
11,2000,4,100,1,0,9,24,1,23,0,81,10,10,0,0,0,0,0,0,0,22,21,0,1.1257
11,2001,20,100,1,0,9,7,0,7,0,37,15,1,0,0,0,0,0,0,1,7,7,0,0.0733
11,2001,20,100,1,0,8,10,0,10,0,66,11,7,0,0,0,0,0,0,0,10,10,0,0.1755
13,2000,25,100,1,0,6,94,68,25,0,208,25,25,1,11,0,0,0,0,0,67,68,1,-0.7408
13,2000,25,100,1,0,4,40,25,14,0,66,8,8,1,6,0,0,0,0,0,21,21,1,-0.4743
13,2000,25,100,1,0,5,6,4,2,0,18,2,2,0,0,0,0,0,0,0,5,6,0,-0.5004
16,2000,11,100,1,0,1,26,17,7,0,167,27,27,2,0,0,0,0,0,0,21,22,0,-0.2640
16,2001,11,100,1,0,1,32,19,12,0,158,28,27,1,0,0,0,0,0,0,21,21,1,-0.2373
16,2002,11,100,1,0,1,5,2,3,0,62,23,5,0,1,0,0,0,0,1,3,3,0,0.1059
16,2004,12,100,1,0,1,10,3,7,0,47,9,9,0,1,0,0,0,0,1,3,3,0,0.0482
16,2004,26,100,1,0,1,16,9,4,0,63,16,10,3,0,0,0,0,0,2,14,14,3,-1.3228
29,2000,26,100,1,0,9,312,8,298,0,1348,152,150,6,1,0,0,0,0,2,280,274,3,7.0319
29,2001,26,100,1,0,9,337,5,327,0,1417,159,159,5,2,0,0,0,0,1,303,304,3,0.1712
29,2002,26,100,1,0,9,306,7,294,0,1269,146,143,5,1,0,0,0,0,2,270,273,3,0.7482
29,2002,26,100,1,0,8,27,1,26,0,112,19,11,0,0,0,0,0,0,2,26,34,0,-5.8022
29,2003,26,100,1,0,9,325,9,310,0,1415,158,156,6,1,0,0,0,0,0,291,290,3,3.6252
29,2003,26,100,1,0,8,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0.0000
29,2004,26,100,1,0,9,328,10,307,0,1417,157,157,11,3,0,0,0,0,2,282,281,2,5.3854
29,2004,26,100,1,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0000
29,2005,26,100,1,0,9,343,8,328,0,1409,158,158,7,5,0,0,0,0,0,311,306,4,7.8219
29,2006,26,100,1,0,9,208,9,193,0,866,96,95,6,4,0,0,0,0,1,177,182,3,-2.5339
29,2006,9,100,1,0,9,119,4,114,0,475,57,54,1,0,0,0,0,0,0,106,103,0,4.3257
29,2006,9,100,1,0,8,1,0,1,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0.0221
29,2007,9,100,1,0,9,334,14,317,0,1325,152,150,3,6,0,0,0,0,1,301,309,3,-3.7414
29,2008,9,100,1,0,9,346,10,332,0,1349,150,148,4,5,0,0,0,0,1,306,302,2,6.4409
29,2008,9,100,1,0,8,1,0,1,0,6,1,0,0,0,0,0,0,0,0,1,1,0,0.0230
29,2009,1,100,1,0,9,266,7,257,0,1124,128,126,2,3,0,0,0,0,2,236,244,0,-2.3567
29,2009,1,100,1,0,7,29,0,29,0,92,13,10,0,0,0,0,0,0,0,27,29,0,-1.0850
29,2010,1,100,1,0,9,216,3,206,0,836,98,93,7,1,0,0,0,0,0,195,204,4,-7.0098
29,2010,1,100,1,0,7,77,0,73,0,351,44,41,4,0,0,0,0,0,0,71,76,2,-3.8574
29,2011,1,100,1,0,9,22,0,22,0,86,10,10,0,0,0,0,0,0,0,18,19,0,-0.5275
29,2011,1,100,1,0,7,42,2,39,0,160,21,18,1,1,0,0,0,0,0,38,40,1,-1.5683
29,2012,1,100,1,0,7,12,0,12,0,45,6,6,0,0,0,0,0,0,0,12,13,0,-0.5846
29,2012,1,100,1,0,9,3,0,3,0,8,1,1,0,0,0,0,0,0,0,3,3,0,0.0387
29,2012,22,100,1,0,7,83,2,78,0,366,44,42,3,0,0,0,0,0,1,70,75,0,-2.8101
29,2012,22,100,1,0,9,3,0,3,0,11,4,1,0,0,0,0,0,0,2,3,4,0,-0.7113
29,2014,25,100,1,0,7,11,0,11,0,57,9,5,0,0,0,0,0,0,0,10,13,0,-1.9638
29,2014,25,100,1,0,9,41,2,38,0,169,21,21,1,2,0,0,0,0,0,36,39,0,-1.3958
32,2000,23,100,1,0,1,2,1,1,0,23,16,0,0,0,0,0,0,0,2,1,1,0,0.0229
32,2001,23,100,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0.0011
32,2001,19,100,1,0,1,4,3,1,0,24,27,0,0,0,0,0,0,0,2,3,3,0,0.0385
32,2001,20,100,1,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,2,0,0,0,0.0022
32,2002,6,100,1,0,1,11,7,4,0,71,63,0,0,0,0,0,0,0,0,8,9,0,-0.3331
32,2003,9,100,1,0,1,2,1,1,0,7,11,0,0,0,0,0,0,0,0,1,1,0,0.0030
32,2003,14,100,1,0,1,3,2,1,0,15,8,0,0,0,0,0,0,0,2,4,4,0,0.0226
32,2004,27,100,1,0,1,1,1,0,0,5,4,0,0,0,0,0,0,0,0,1,1,0,0.0128
67,2000,22,100,1,0,1,8,6,2,0,55,63,0,0,1,0,0,0,0,2,7,7,0,0.0787
67,2001,22,100,1,0,1,27,16,10,0,126,43,22,1,1,0,0,0,0,1,19,18,0,0.7297
67,2002,26,100,1,0,1,29,20,8,0,129,45,19,1,1,0,0,0,0,2,21,21,0,0.3694
67,2003,26,100,1,0,1,6,5,1,0,56,56,0,0,0,0,0,0,0,1,6,5,0,0.5059
67,2004,14,100,1,0,1,3,2,1,0,24,26,0,0,0,0,0,0,0,1,3,3,0,0.0412
67,2005,26,100,1,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,-0.0050
83,2000,25,100,1,0,9,7,0,7,0,45,11,3,0,0,0,0,0,0,0,6,9,0,-2.1475
83,2000,25,100,1,0,7,160,1,154,0,758,93,88,5,0,0,0,0,0,0,144,163,3,-13.4885
83,2000,25,100,1,0,8,5,0,5,0,23,3,3,0,0,0,0,0,0,0,5,5,0,0.0693
